,comment_body
668,Christine Being aware of and acknowledging our quirks is an insightful way to develop and grow in all aspect of our lives. I loved how you evaluated the positives and negatives of each imperfection and how they can be put to good use. Well done!
669,Christine YES! Sometime letting go is the healthiest choice to make.
670,"Christine You seem to have a way with mediating particularly difficult situations. I recall an instance in one of your early posts where you tactfully intervened during a """"friend dilemma"""". Thanks for sharing."
671,Christine What a wonderful experience. I was so happy to read that you chose something to which you felt connected. Thank you for giving selflessly!
672,Kevin No act of kindness is ever too small! In fact sometimes they have the most profound impacts.
673,Kevin Asking for help certainly can be difficult. Unfortunately I believe we've been made to feel weak insufficient
674,Kevin You aren't the only one who thinks we all have traits and characteristics of each of the four houses. And I agree!
675,"Kevin All we can do is our best to acknowledge and improve our """"quirks"""" if need be. Recognizing imperfections can be the hardest part. Hopefully we all have one or two people in our lives that can lovingly and kindly help us to develop and grow."
676,Kevin I agree. Knowing when to persevere or pivot is nearly impossible. Sometimes we just have to make the most informed decision possible and move on no matter the outcome. Thank you for sharing personal experiences!
677,Kevin Thank you for actually volunteering and giving selflessly. I saw a photo of your group and it looked as though you had a great experience with each other as well.
678,Kristin As I read your post tears rolled down my cheeks. I am beyond humbled by your thoughtful and selfless giving. WOW!
679,Kristen Thank you for sharing this beautiful experience and for choosing to do something about which you are so passionate. Despite your own health concerns you still were willing to give your time and love.
680,"Joseph Ravenclaw is a fine house in which to be placed. It produced many wonderful witches and wizards. Most people believe they belong in Gryffindor. I wonder if that is because it's """"Harry Potter's"""" House."
681,Joseph Can you please provide specific personal imperfections and quirks?  Remember this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
682,Joseph Some people believe that pivoting is the same as quitting or failing. I second your thoughts. If after thoroughly evaluating a situation outcome etc. you determine pivoting is in your best interest
683,i liked reading how you were able to help your teammate. Picking others up and giving guidance can often be the most rewarding.
684,Piyan Thanks for sharing. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self! Please be sure to answer the provided prompt.
685,Pierre Thanks much for sharing your expectations for yourself and this internship. Kudos to you for recognizing the endless resources that are available at LaunchBox. We are excited to have you as a part of our team as well!  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
686,Daphne Oh my gosh...I get nervous before I start new things as well. Kudos to you for sharing your reservations.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
687,Di What a positive outlook...viewing all of us as a family! Thanks for taking the time to share your expectations and initial reservations. Starting something new is often scary for most people.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
688,Wesley Thanks for taking the time to share your expectations of yourself the internship and your teammates. I love that you have such a positive attitude when it comes to learning from others! This will serve you well throughout your life both personally and professionally.  As a reminder
689,Lyndon Thanks much for sharing your expectations of yourself and this internship. I'm excited to watch you learn and grow over the next few months. You've got a lot to bring to the table.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
690,Vlad Yes! Your response is spot on. Having fun in life is so very important. I love that you mentioned teaching others as well as learning from them. Kudos.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
691,Rory How right you are...we all have our own expertise to share which makes us one heck of a cohesive unit. Woot woot!  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
692,Trevor You've outlined some excellent expectations for yourself us and the entire internship team. What particularly stood out to me was that you wanted to be unafraid to fail. How very important. By human nature we are bound to fail. Becoming comfortable with doing so is vital to success. As a reminder
693,Rihad Your title is very catchy. It is safe to assume Cardi B. was your inspiration? We are definitely excited to have you as part of the team.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
694,Isha You couldn't be more right. Failing and being wrong is more than okay. I struggle with accepting this as well. Through experience when we push ourselves we have the opportunity to grow and develop in ways we may have never imagined. You got this girl! Excited to have you on board.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
695,Stephen The image you used to support your written reflection is catchy and appropriate. Nice choice. We are excited to watch you learn be challenged and grow! Welcome to the team and thanks for sharing your initial expectations.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
696,You continue to impress me each day. Your post is well-written and articulates your expectations in a positive and realistic manner. Thanks for taking the time to share your thoughts. Additionally your title is quite catchy! As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
697,Eric Well said. Thanks much for taking the time to share your expectations. It is obvious that you have a positive attitude and that will certainly serve you well. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
698,Gillian We are super excited to have you as part of the team. Your different experiences and perspectives will help us all to grow and develop in ways we may not otherwise would have had the opportunity to do.  As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
699,"Gillian Wow! How insightful of you. I'm impressed that you took the initiative to """"change it up"""" when you noticed your team was not necessarily producing the outcomes you were seeking."
700,Di Thank you for sharing the sincere thoughts and emotions you experienced when viewing the dollhouse. To be honest I got a bit choked up when you mentioned the promise to your father.  How very humble and kind.
701,"Eric I completely agree. Creativity lives in all of us and viewing art can assist in """"drawing"""" that side of ourselves out. Honestly I struggled with visiting museums and galleries at first too. I kept seeking the """"correct"""" interpretation. Finally I realized we all had valuable viewpoints to offer."
702,"Gillian I couldn't agree more. Attending as a group was far more beneficial than I expected. As life progresses keeping in touch with those we care about has a tendency to become more and more challenging because we are all so darn busy. However if the relationships are important we must make an effort to communicate. What methods will you use to """"reconnect?"""""
703,Isha I thoroughly enjoyed listening to you share the feelings that fighting peacock sculpture brought out of you. You smiled so sincerely when you spoke of your mother and that pulled at my heart strings. I can only image how lovely growing up in a peacock decorated house must have been.
704,Leo Your reflection is written beautifully. I'm sitting here at my computer with chills as I read over your post. When you spoke of your childhood in Taiwan I felt as though I was there at that same bridge. Additionally the way in which you described the peacefulness of Palmer was spot on. Thanks for sharing.
705,Lyndon WOW! Your reflection is incredibly insightful and thoughtful. Your interpretation is on a level of its own. Just...WOW!
706,"Max The painting also made me realize how interesting and attracting something can be even though it isn’t necessarily perfect or planned out."""" This statement is so profound. As a Type A I needed to read this today. Thanks for sharing!"
707,Pierre I agree. Having the tour guide was extremely helpful. I visited the Dali Museum in St. Pete (https://thedali.org/) and opted for a recorded guide because I had no clue what I was looking at but new each piece of artwork represented something significant and meaningful.
708,Piyan I was incredibly moved by what you shared during our tour today. I could see and feel how passionate and excited you were about this particular piece. Is there a picture of the sunflower seed installation that you could share?
709,Rory I literally do not have enough insight or profound words to add to your reflection. I can't recall the last time I was speechless. So you know I posted the weekly bulletin before I read your story and...was in the back of the crowd when you spoke to the group!
710,"Daphne The way you articulated your interpretation of the """"Venus"""" painting today...and now this....I"
711,"m not on your level as far as """"interpretation goes"""". Although art isn't your first interest you have a knack!"
712,"Stephen Oh to be a kid again!"""" Right?! I enjoyed listening to you reminisce about your childhood at the museum yesterday. Your smile is telling of your positive attitude and friendly demeanor. If you don't mind me asking what types of food could you expect to find on your table back then?"
713,"Vlad You've touched on some truly important points. Taking the time to """"stop and smell the roses"""" if you will is becoming even more seldom as technology continues to evolve. You addressed imagining and re-centering which are vital to our growth as well-rounded humans. Thanks for sharing your views and opinions and for doing so in a respectful and open manner."
714,Wesley You pulled at my heart strings when you spoke so dearly and lovingly of your grandmother. I could feel the profound love she had for nature when you described various attributes of the painting. Thanks for the moving experience.
715,Thank you so much for sharing this Di. I know its not easy to open up like that to people you just met but you were so sincere and I loved how you talked about the promise to your father. Thank you for allowing us into this part of your life.
716,This was such an amazing analysis of this painting something I never would of thought of myself. Thank you so much for sharing.
717,There was all types of food on the table! It changed from day to day but fruits like apples and bananas were definitely a staple as my parents wanted me to eat healthy snacks. At times there would also be some chips and shortbread cookies.
718,Thank you Maddie! Really appreciate you and Kerry brought us to Palmer Museum it was a very interesting and amazing experience! Definitely looking forward to visiting the museum again with the same group of people.
719,wow this post touches the heart
720,"I think that I have to approach communication different ways. For my aunt and my cousins Facebook and social media would probably work and it would be much easier because I love talking to them! However I love my Gran but I often find it hard to just """"chat"""" with her because she isn't an immediate part of my life (being that she lives so far away). I really do want her to become more involved in my life though so maybe I could just open up and give her updates one day?"
721,Gillian You have meshed unbelievable well with the others. To be honest I don't think anyone noticed you weren't IT. The different perspectives you are bringing to the table are helping us all to grow in unpredictable ways. My heart is tickled that you are making friends although I had no doubt. Your personality is a breath of fresh air.
722,"Max Yes! Should something come to mind please share. We truly value feedback and ideas. Are you thinking another """"tool"""" like Photoshop or more along the lines of a different project?"
723,"Pierre I am beyond stoked to have read that ya'll created two """"social groups"""". These are exactly the types of relationships we were hoping to see cultivated. Honestly I have chills. :) Thanks for sharing your personal and professional experiences thus far."
724,Rihad Hands down your titles are the most creative and comical. Kudos. When sharing do your best to pin point specifics. Your titles draw in the reader and the details will keep them reading. Looking forward to watching you grow and develop.
725,Rory You've had an impressive start to the internship -- voicing opinions taking leads offering assistance -- all of which have been a delight to observe. Obviously you are a team player but you can be in charge as well. What a combination! Bravo.
726,Shawn Agreed. Your smile positive attitude and thirst for learning are serving you well and will continue to do so in this internship and beyond. Something else that I noticed is as a leader you LISTEN! You are off to a stellar start for sure.
727,Trevor Being able to step into the roles of leader and/or teammate are a vital part of individual and group success. You do both quite well. Bravo! Is there anything you would change or add to the first two weeks of the internship experience?
728,"Wesley I absolutely love that making new friendships and life-long connections is a goal of yours for this internship. I heard there was a """"Surge Ballers"""" group. Way cool! How do you feel about the projects thus far?"
729,Thank you for the response! Yep the Surge Ballers are great! The projects thus far are very interesting and fun! I enjoy website designing and developing flyers and postcards for clients to use. Can't wait to see them in their business!
730,"I am thinking more along the lines of another """"tool"""" such as Photoshop. I'm still not entirely sure what kind of tool but should one come to mind I will definitely share."
731,Shawn Wow. What a remarkable story. I can't say thank you enough for sharing this raw information as well as how the negative experiences have impacted and changed your life for the better. When we share tribulations and triumphs with one another the likely hood of us growing closer as a human race is much greater.
732,Pierre What an incredible story. Michael Jordan's basketball journey came to mind when I read about your triumphs and tribulations with soccer. If you don't mind me asking what emotions were you experiencing when you did not make the team initially?
733,Di Thanks for sharing your struggle with test taking. Specifically what did you do differently the second time around?
734,Rory How did you come to the realization that you wanted to purse IST? Perhaps an epiphany dream or pro/con list? Do you ever wonder why the boredom of the business classes did not jolt you into recognizing that wasn't the major for you?
735,"Trevor No doubt changing majors was a tough decision for you. Your thought process from """"I'm not happy."""" to """"I need to do research."""" favored you well. As I'm sure you have heard Kerry mention we often have to choose when to persevere and when to pivot. Personally I believe a wrong decision is better than indecision. Although this is one of my biggest struggles. I'm happy you are happy!"
736,Di Thank you for openly sharing your experiences with risk taking. You mentioned that you did not have a back-up plan regarding attending college in the states. As you continue to grow develop and take risks are you more inclined to have a Plan B? Why or why not?
737,"Wesley Yes although this experience was a failure it will serve you well in the future. Your comment about over promising is spot on. At Live It we too have done the same and the results often aren't """"pretty"""". Learning to set realistic expectations is a much more positive approach for all involved. Thanks for candidly sharing."
738,"Wesley your reflection is detailed and well written. Kudos! I loved that you emphasized how the group sympathetically and emphatically """"laughed"""" at each others' failures. Creating that kind of atmosphere will allow all of you to open up and seek help when the situation is more serious. This is by far your best post to date."
739,Daphne One of my favorite things about reading your reflections is that you almost always include aspects of your culture. Your willingness to share how that interweaves with who you are becoming is like a breath of fresh air. In regards to the challenge how did you approach the redesign process? (Thanks for including the video link.)
740,Rihad Thank you for sharing this personal difficult experience. I can relate. My father is dying of cancer and this weekend I had to rush to my parent's house to assist with his care. Unfortunately I did get pulled over. As I continue to reflect on Saturday morning I can say I am not happy about having to pay a fine
741,I more inclined to have no back-up so that I can push myself out there and face the things that I am doing directly and try my best.
742,Isha Thank you for sharing your failures in relation to your team. I love that each of you are embracing your culture expressing it through dance and sharing it with others. How cool! I couldn't agree more our egos often do more harm than good. I'm curious
743,Leo I can't even begin to imagine what it must have been like for you to have to make such a difficult and impactful decision at such a young age. Do you ever wonder if some of your family had not already been in the United States if you would have made the choice to stay in your home country?
744,Thanks for the compliment Maddie! I usually approach the redesign by making the process smoother. Sine if your machine stops you are out of the competition we want to make sure everything works smoothly. Second we will see if we can make the machine building process easier and faster. That are the two targets we aimed for redesigning the machine.
745,Eric Thank you for openly sharing the risks you took by accepting the internship position at Surge. Lack of financial resources is definitely a cause for concern. How will your choice of pursuing Surge impact your future decisions?
746,Gillian In no way shape or form should you feel dumb or inferior. Perhaps the insight you were meant to gain out of this experience was in relation to the capabilities of your peers.  Additionally knowing when to lead
747,Max First of all your reflection is extremely well written. Second congrats on the buzzer beater! I loved reading about how you went from a solid yet somewhat reserved player to the teammate calling the shots and putting the game on his shoulders. How did this experience influence other aspects of your life if at all?
748,"Max Thanks for being upfront and honest about your preference of experiences. I don't suppose you have thought of any way to improve or completely revamp the """"snack activity""""?"
749,Lyndon Wow! Your reflection is not only well written but extremely insightful. What a unique take on winning and losing. Obviously this is a concrete example of how failure can ultimately turn into success...it's all in the way one define it.
750,Lyndon I'm curious...what made you say no in high school but yes last summer? Age? Maturity? Growth? Confidence?
751,Piyan Thank you for sharing your thoughts after two weeks at Surge. You mentioned that you hoped the days would get better. What ideas or suggestions do you have to offer for improvement? We would love to hear them.
752,Piyan Would you mind adding more specifics to your reflection? In detail at what did you fail during your last internship? How did that failure impact your approach in school and in other opportunities?
753,Piyan Wow. I didn't realize that once you chose an educational path in your culture there was no turning back. I can't even begin to imagine what it must have been like to make such a major decision as a teenager. How has this choice impacted your willingness to take chances as you continue to grow into your unique-self?
754,I think that this experience gave me the confidence when taking risks in other aspects of my life. I became more comfortable taking risks in other aspects of my life after this game. No matter what the outcome is I have become more comfortable taking risks outside of sports.
755,"I think the """"snack activity"""" would be more beneficial if it were paired with a more in depth story about your childhood. Explaining a little about how you're attached to the snack is good but being able to tie it into a specific story would give it more meaning."
756,I would say that it was both my personal growth and overall confidence improving that led me to saying yes.
757,Di Thank you for sharing this experience with the group. To be clear ethics are morale principles. For example while walking through campus you find a wallet on the Hub lawn. The dilemma here becomes whether to keep the wallet or turn it in. Does that make sense?
758,"Isha Nice job relating the Escape Room experience with those you encounter in the """"real-world"""". At any point during the game did your team struggle with communication? If so how did you approach resolving this issue. If not how did you develop your plan and execute it so well?"
759,"Leo Based on your description of your experience with the Escape Room it is obvious that soft-skills were being utilized and strengthened. Delegation and playing to each other's individual strengths is certainly a recipe for success. Looking back did anything go awry or is there anything you would have done differently? How does an experience like this help with those you encounter in the """"real-world""""?"
760,Lyndon How do you think we did with our overall communication and execution? Be honest! :)
761,Max First of all you have the absolute best title for this reflection topic. I can easily picture Michael and Holly dancing in the conferencing room. To be honest I am surprised by your friends' positive response. Typically most people react defensively. Have you ever thought about what you would have done if they would have disregarded your advice?
762,Pierre I asked Lyndon the same question...Overall how do you think our team did with communication and execution? Be honest!
763,Rory What a useful experience to have. I loved reading about your thought process and problem solving from start to finish...1. Recognize the issue 2. Brainstorm potential solutions 3. Test best solution 4. Gain feedback 5. Revise plan 6. Repeat
764,"Shawn You share such raw experiences and I absolutely love it! These are exactly the types of situations on which we need to reflection and around which """"learning"""" conversations should be geared. In my opinion I think you took the right steps and made the right decisions at the right times. You approached your co-worker and engaged with him in a non-threatening way. The maturity you showed is commendable!"
765,Vlad Thank you for being so candid with your response. I am always appreciative of your honesty. The corporate culture Tony has created since his first failure is extremely interesting and obviously beneficial. If you were to begin a start-up what particular aspects would you be sure to include? PS. I struggled with the test as well. For the most part my answers were in the middle.
766,Vlad You do have a personality that not only accepts failure but embraces it wholeheartedly and obviously benefits from it. From now on I'll be making an effort to channel my inner Vlad. You mentioned that not being negatively affected by failure may be a result of genetics. Is there anything else you can contribute to your outlook?
767,Wesley Thank you for sharing openly and candidly about this ethical dilemma. Obviously you made the right decision but the loss of a friend can be difficulty to accept and digest. When we are in situations such as this we may want to ask our selves what type of people we are surrounding ourselves with if they ultimately decide to discontinue communication. Hmm...Tony Zappos was on to something!
768,Daphne I'll ask the you the same question I asked Lyndon and Pierre...How do you think we did as a team regarding our communication leadership etc. Be honest!
769,I was surprised by their reactions too. I think because it was close to the end of the semester they realized it truly wasn't worth the risk at this point. Maybe if I stepped in earlier they would have been more disregarding of my advice. However if they had disregarded my advice I would have considered going to the teacher but it would have been something I thought long and hard about.
770,I wish you the best in your future projects!
771,Isha Agreed! Although we know academic cheating (or any for that matter) is not right when I friend is involved it can be difficult to make the correct call. Obviously you handled the situation with grace and dignity. Offering to provide your friend with a crash course and choosing to sit in the opposite row were kind and commendable choices. Kudos!
772,"Agreed. Talking to someone higher up on the """"food chain"""" often gets viewed as """"tattle-tale-ing""""."
773,"Pierre Kudos for stepping outside of your box. Plus you are earning additional income and you won't have to worry about riders """"dirtying"""" your car. What a cool idea to pursue."
774,Stephen Yes this was a particularly challenging experience of which to be a part. Willingly volunteering to join the team was a risk in and of itself. How do you believe this will affect your future risk-taking endeavors?
775,"Trevor Agreed. Speaking up in team meetings can definitely be intimidating and risky. Now that you are beginning to become more comfortable doing so how do you think this will affect your decision to voice your opinions in the """"real world""""?"
776,Trevor Could you elaborate a bit more. What new recipe have you tried to create in the last week?
777,"Vlad Thank you for openly and candidly sharing about your unethical and ethical experience. Do you have a """"thought process"""" for determining when using your exceptional technical skills is for the good/bad?"
778,"Vlad Agreed! At first traveling on your own can definitely be scary. Especially until you get acclimated to the """"process"""". I'm curious did you take any particular steps or use any particular """"tools"""" to ease/clarify your mind along the way? How did the journey there compare to the journey home?"
779,Wesley How cool! Thank you for taking the time to try something new on your own. Half way up the wall is an excellent start. To be honest I've always wanted to try rock climbing as well but for some reason have been hesitant. Thanks for the encouraging push! On a side note I recently started watching the following documentary on Netflix. Holy...WOW! https://www.dawnwall-film.com/
780,Max Kudos to you for trying something new on your own. Cooking once you become comfortable can be quite rewarding. Plus doing so is a much healthier option compared to eating out all of the time. Pinterest is a great resource and there cookbooks specifically for college students as well. https://www.google.com/search?q=healthy+cookbook+for+college+students&oq=Healthy+Cookbook+for+College+Students&aqs=chrome.0.0l2.5329j0j7&sourceid=chrome&ie=UTF-8
781,"Gillian Yes kudos for at least trying. Ain't no shame in that game! Did you notice if there were any students in attendance? A note for HHD...Advertise """"Black-Tie"""". My husband and I had a similar experience at a wedding only we couldn't leave. Talk about uncomfortable and embarrassing. Nonetheless we lived to see another day. :)"
782,Rihad No worries. Unless you are blessed with a natural cooking talent doing so takes time. Having a set recipe to follow in the beginning helps as well. Don't give up. You got this.
783,Trevor I agree that while there is so much incredible art to see the trek between campus and downtown can be challenging on a hot summer day! Maybe closing off College Ave instead of Allen St could help? Glad you had a good time. Would love to try that hot sauce some day.
784,A friendly art competition would be nice! It would be interesting to see what the community appreciates when they observe the art displays.
785,Yes especially with the increased usage of credit cards and mobile payment having to grab cash at the ATM can be a hassle. Maybe you should recommend the Arts Fest committee to accept payments through hardware like Square!
786,Rachel Kudos to you for holding down a job while a full-time student. I agree that certainly is not an easy task.
787,"John Your title is catchy and creative; I was definitely intrigued to read more. Additionally I am impressed with the """"web of communication"""" that you and your peers established and maintained. Kudos!"
788,"John Your quote...""""I deem my work ethic great but not perfect. Nobody is perfect and therefore always room to improve especially when starting a career position"""" is on point."
789,Satchel I'm curious. What methods of communication is/was used? Face-to-face email text etc.?
790,Jack Kudos for pointing out all the things that went wrong with regard to communication in your project management class. As a result of that experience do you have a tendency to take the lead?
791,"Liam How right you are. Asking thoughtful questions certainly is a key to communication. Learning to """"repeat"""" what you've heard can come in handy as well. For example What I hear you saying is..."""""
792,Muhammad You mentioned that getting to the point where a team genuinely works together is a long and arduous process. Why do you think that is? What can we specifically Live It do to improve that experience?
793,Muhammad Your honesty is 100% appreciated. This platform is designed to have those candid conversations so that we all have the opportunity to learn and grow as individuals. Passion for the task at hand as well as team dynamic certainly can have an affect on output.
794,Pam You mentioned that as a group your responsibilities were divided among each member. Task delegation and trading is a key component of group success. How do you approach a situation where someone is not pulling his/her own weight?
795,Pam Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
796,If someone was not pulling their own weight in a project I might reach out to them individually just to have a better understand of what is going on. Then I would discuss ways that we can work together to ensure their portion is being done on time. Hopefully I can walk away with a better understanding as to what is going on and a plan to ensure the work gets done.
797,Yes after that experience with miscommunication I make sure that everyone in the group is on the same page before moving forward.
798,Satchel Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. You mentioned that you would like to be able to measure outcomes with regards to your projects. Do you have a plan to do so? As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
799,Sean Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. I concur that you execute communication well; it's quite impressive. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
800,Liam Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. Your positive attitude and outlook are a breath of fresh air. They both will serve you well in all aspects of your life. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
801,Jack Thanks much for taking the time to share your expectations with regard to yourself and the internship in general. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
802,Chloe Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
803,"Muhammad Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. I love that your reflections are always so candid and honest. You are truly embracing the """"point"""" of this platform. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!"
804,Sean Thanks for sharing your insights and opinions. You bring up several valid points. Career Fairs certainly do open avenues for building networks and offer opportunities to practice and refine conversational and interviewing skills. The article you attached reinforces those viewpoints as well. Here is an interesting take on the opposite. http://ucsdguardian.org/2019/02/18/career-fairs-obsolete-world-online-networking/
805,Jack Your post is extremely well written and I love that you were open and honest about your opinions of Career Fairs. Standing in line for 1.5 to 2 hours is certainly daunting and unproductive yet personal connections are well worth the wait. I am anxious to see what the future holds with regards to career fairs. It certainly will be interesting. Thanks for sharing!
806,Jon I agree. Waiting in line and being told to apply on line is more than annoying but the potential for personal connections and networking opportunities can't be beat. I really liked your view point on the why and how of improving career fairs. Very creative as usual! :)
807,Liam Your thoughts of and opinions on career fairs is similar to those of your fellow interns. I think the questions you are asking and the concerns you have about the current processes and layouts of these events are warranted. Maybe networking needs to be redefined?
808,Pam As I mentioned to Liam you and your fellow interns have similar views on the purpose of Career Fairs. The questions comments and concerns that you have are valid and warranted. Do you have any thoughts on how to revamp career fairs so that they are more relevant?
809,Rachel I love that you and your fellow interns are questioning the point of career fairs. Doing so stirs up comments and concerns that can either lead to new and improved career fairs or the extinction of them all together. The strategies that you have taken over the years were well thought out based on your experiences. Bravo!
810,Satchel Using career fairs as a way to refine your conversational and interviewing skills and build confidence is brilliant. Even if someone is adamant about the worthlessness of career fairs participating for the sake of practice is certainly an opportunity that should be embraced.
811,Satchel Thanks much for taking the time to share your expectations with regard to yourself the projects and the internship in general. As a reminder this platform was designed to help you find the pathway that fits your own unique passions and skills. This space is free from judgement and will allow you to be your authentic self!
812,"Satchel I enjoyed reading your critique and interpretation of """"Leaving Town"""". The ways in which you described the colors and how they evoked memories from you childhood were moving. Thanks for sharing!"
813,"Tevin Thanks much for sharing your reactions and feelings towards the """"Crowded Bus"""" painting. Are you a """"This is Us"""" fan? I watched an episode last week in which one of the main characters talked about how riding the bus on a daily basis impacted her. To quote Deja “...something that makes you uncomfortable reminds me of where I’m from.”"
814,Chloe I love that you shared how the painting made you feel. From hot and torrid to cool and peaceful you certainly experienced a range. Art of all sorts evokes different emotions for different people which is truly astounding.
815,Chloe Your views are very similar to those expressed by your fellow interns. Waiting in line for 20-30 minutes only to be told to apply online certainly is frustrating. You may be right to lower your expectations and to use Career Fairs as a supplemental tool for obtaining employment.
816,John What a unique take on the symbolism of the artwork to which you took a liking. I love that you were able to tie the piece to your past present and future. Kudos!
817,Jon Distractions have a tendency to be more well...distracting when our interests are elsewhere. I'm guilty as well. I found this article to be an interesting read:  https://www.cnbc.com/2019/10/09/stanford-psychology-expert-most-important-work-skill-of-the-future.html?utm_source=pocket-newtab.
818,Pam Although vulnerability is scary when we put our selves in situations that allow us to interact with others in a neutral and safe environment amazing things can happen. I'm so glad your experience was positive.
819,"Rachel I got to take a quick peak at the Augusta Savage exhibition last week and was drawn in by her story as well. Her struggles and successes rendered me speechless. The way in which you relate her experiences with yours is eye-opening. The technology field is still holding on to the """"bro-culture"""". People like you will change that no doubt."
820,Sean What a beautiful memory. The way in which art provokes feelings thoughts and visions is absolutely incredible. Thanks much for sharing such an authentic reaction.
821,Tevin I could really feel the emotion behind your reflection. Honestly I got a bit chocked up envisioning you and your brother enjoying each others' company. To me it's crazy how deep the feelings are that art brings to the surface.
822,Rachel Although making the decision to study abroad was difficult it certainly sounds like you chose wisely. Honestly I wanted to do the same. While a student in Smeal I was presented with numerous
823,Rachel study abroad does intimidate people because of the costs and possibilities of graduating later. Scholarships are possible but the costs are still a great amount. While people do say not to rush college and stay as long as you can my pockets advise against that completely. I respect the risks you were willing to take. How was your study abroad? What would you tell yourself to do instead if you had a time machine?
824,Bro! It's the bounce back that counts! We have all had those exams that were really easy but we failed because of a stupid reason. Keep up the good work! It will all pay off!
825,Rachel I think your post is very inspirational. Even though the internship was required and it was in the back of your mind it was important that you did something for yourself rather than pleasing others. I think going abroad was a really enjoyable experience that would be difficult to accomplish once you hit the workforce.
826,Satchel I also coincidentally wrote about a failed test this week. In the moment failing a test seems like the end of the world but if you take a deep breath and realize that it's just one test you start to relax. It's unfortunate you think you did poorly because of one minor mistake
827,"Tevin the painting I chose also related to my childhood/brother. Once I started college I couldn't spend as much time with him as I used to. The quote from The Office explains it best I wish there was a way to know you’re in the good old days before you’ve actually left them."""" I'm trying to hold on to my childhood as long as possible because I know that """"adulthood"""" is fast approaching."
828,"I have a similar experience. When I was taking an online course of Material Science I didn't study too much on it since the weekly quizzes and assignments were easy and time-unlimited. However the midterms and finals were much harder with limited time. I ended up with a B while many peers got an A. I think this """"failure"""" happens a lot among college students who assume they can get an easy A on easy courses. Better to learn sooner than later:)"
829,I had a strong willing to study abroad in London for one semester but the program only allows students take general education courses which may defer my graduation date so I chose not to do it. Maybe in the future I will study abroad or do an internship program. It's risky but it worths.
830,Past failures close off paths that that doesn't enable you to succeed. You've weeded out your weaknesses to be better!
831,While I know failure is indeed very frustrating I find that you'll appreciate these lessons later in the future especially learning it at your own pace.  I think it's gonna be a lot harder to progress in a buisness setup so I will cherish my freedom.
832,I think it's natural to compare yourself to your peers and to those around you. But I often found myself looking at people who had success that I didn't and it was something that really bothered me. I found that I needed to restructure the way I was thinking. Instead of looking at what they had that I didn't think of how you can achieve those same things too.
833,Jon I really enjoyed listening to your thoughts about the pieces of work we saw. While I can appreciate art from a far I don't really find myself making a lot of meaningful connections to it like you had. You think really deep and found a lot of hidden meaning in the work and it was really interesting to listen to. Thanks for being so open and willing to share your thoughts with us!
834,"Pam- while I was reading through a lot of other people's thoughts on career fairs you seem to be only one who came out with it saying they were dead. I contemplated it and kinda gave a """"kinda"""" in response but I respect you coming out with it and saying it like it is."
